,Label,Serving Size,Calories,Fat,Cholesterol,Sodium,Carbs,Protein
288,SeafoodPaella,8oz,290,7,84.1,1007.3,36.6,18.4
289,Mussels&ClamswithAndouilleSausage,4oz,236,15.8,57.8,446.6,5.4,16.2
290,Fish&Chips,8oz,379,20,45.2,367,33.4,16.9
291,FriedShrimp,4oz,189,9.6,108,269.2,9,16.7
292,FriedShrimp,4oz,194,9.1,101.7,253.6,11.9,16.2
293,Shrimp&ScallopHunan,6oz,160,7,42.5,563.7,12.4,12.1
294,FriedSeafoodCombo,6oz,195,9.8,58.7,355.1,13.9,12.5
295,BakedStuffedPollock,1each,235,12,93.1,347,13.2,18.3
296,LemonDillBroiledCod,1each,137,4.6,63.1,78.5,0.6,22.1
297,SalmonwithCucumberRelish,1each,197,14.9,28.6,109.2,5.8,9.9
298,CatfishPicodeGallo,1each,198,11.2,77.5,203.8,3.5,19.3
299,FishFry,1each,122,2.2,55,501.7,13.5,11.9
300,Shrimp&ScallopsStirFry,4oz,251,10.2,35.3,207.9,26.3,12.6
301,FriedPollock,1each,283,11.8,65.9,485.7,29.2,16.1
302,MusselsMarinara,4oz,323,11,63.5,1892.6,26.1,29
303,Lobster,1each,709,32.4,405,1946.5,6.6,92.9
304,Lobster,1each,756,32.7,445.5,2149.7,6.3,103.3
305,FriedClamStrips,4oz,302,15.1,14.2,661.5,28.4,12.3
306,TilapiawithLemonCaperSauce,1each,112,3.4,1,54.5,1.9,18.7
307,TilapiawithCajunMayonnaise,1each,202,11.6,6.7,250.9,5.2,19.4
308,PanRoastedTilapiawithHerbRub,1each,114,3.1,0,73.9,3.4,18.7
309,SeafoodPaella,8oz,248,6.4,59.8,517.4,35.7,10.7
310,CodProvencal,1each,153,3.3,59.1,202.9,6.5,23.2
311,Shrimp&SausageJambalya,8oz,269,8.8,44.6,483.4,34.4,12.2
312,PotatoCrustedPollack,1each,273,15.3,82.7,702.4,16.8,11.7
313,GrilledMahiMahi,6oz,378,7.4,284.3,513,1.3,72
314,PanBroiledCod,1each,109,1.7,53,93.3,0,22
315,SeafoodNewburg,4oz,267,17,60.4,587.2,14.8,13
316,BatterFriedFish,4oz,162,5.8,40.5,347.1,13.9,15
317,FriedClamPo'boy,1each,559,29.2,27.9,1058.7,55.1,17
318,CornMealCrustedCatfish,4oz,219,4.1,99.7,174.5,20.4,24.3
319,SeafoodCroissant,1each,281,15.2,20.2,623.9,28.5,7.3
